ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,"Masz jakiś pomysł na projekt data? Napisz nam o tym. Jeżeli to nie ten moment, pozostaw puste pole.",W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,"Jeżeli jest obszar, na którym się znasz i chcesz go wykorzystać, dopisz go:",FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR,"Jeżeli pominięto branżę, na której się znasz dopisz ją:"
11,3/5/24 16:32:10,3/5/24 16:47:31,anonymous,,,"Pomysłu na projekt nie posiadam w tym momencie ale wydaję mi się, że można by było rozpowszechnić informacje na temat github student developer pack https://education.github.com/students, a także aby jeden ze studentów aplikował na campus experta (następna aplikacja w sierpniu) w całej Polsce jest tylko dwóch jeden na PWr prowadzi PWrski (https://wmsdev.pl/) a drugi na WAT",Chcę uczestniczyć w projekcie data,2,2,1,2,0,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,,3,2,1,2,2,2,2,2,1,
12,3/5/24 16:39:56,3/5/24 16:53:41,anonymous,,,Stworzyć projekt związany z blockchainem Flare który dostarcza dane na temat innych blockchainów i internetu. Dodatkowo ten projekt ma uruchomiony program grantów. Tutaj link do strony Flare= > https://flare.network/,Chcę uczestniczyć w projekcie data,0,2,0,3,0,1,3,2,2,2,2,2,2,0,0,0,0,0,2,2,2,1,2,2,2,0,,2,2,2,3,2,2,2,2,2,
13,3/5/24 15:43:47,3/5/24 16:54:44,anonymous,,,"Projekt aplikacji lub strony internetowej która robi analizę statystyczną danych z messengera (kto najwięcej pisze, najpopularniejsze reakcje/słowa/wiadomości, historia nicków itp.). Ogólnie co się wymyśli można zrobić. To byłaby pierwsza część projektu, taka bardziej praca na danych i ich wizualizacja.

Drugą byłaby część związana z dużymi modelami językowymi. Na przykład analiza sentymentu wiadomości (pozytywne, neutralne, negatywne), przewidywanie kolejnych wiadomości, stworzenie bota danej osoby poprzez uczenie modelu jak pisała wcześniej. 

Dane z messengera można pobrać z Facebooka, wystarczy wypełnić zgłoszenie (sam to zrobiłem i wykonałem kilka analiz). Ogólnie myślę że ten projekt może być dobrym wprowadzeniem do modeli językowych, jak również samej analizy danych.
 
Na plus że jest bardzo modularny, czyli możemy go rozbudowywać tak długa jak będziemy mieć nowe pomysły na analizę (moim dodatkowym jest zrobienie coś w stylu Spotify wrapped, które pokazuje twoje statystyki z całego roku na przestrzeni wszystkich wiadomości, albo roczne  podsumowanie grupki). 
Drugi plus jest taki że danych które będziemy analizować jest bardzo dużo (tylko w moim przypadku mam grupę na messengerze która ma ponad milion wiadomości), i są bardzo różnorodne (każdy pisze z każdym trochę inaczej, jest slang itp.) 
A poza tym czy każdy nie chciałby znać ciekawych statystyk własnej grupki?
Co do bezpieczeństwa danych, bo są to w końcu prywatne konwersacje, przetwarzanie i analiza będzie się odbywała lokalnie, a nie na jakimś serwerze.
 ",Chcę uczestniczyć w projekcie data,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,,3,2,2,2,2,2,2,1,1,
14,3/5/24 17:06:31,3/5/24 17:14:39,anonymous,,,,Chcę uczestniczyć w projekcie data,0,2,0,1,0,0,0,4,1,0,0,0,3,1,1,0,0,0,1,0,1,2,0,0,0,0,"Excel, SQL, PowerBI",0,1,0,2,0,0,0,0,0,
15,3/5/24 17:15:44,3/5/24 17:19:06,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,3,3,2,1,2,1,1,1,Umiem bardzo dobrze rozplanować obowiązki swoje i osób z którymi miałem przyjemność współpracować :D,2,2,1,3,2,3,1,2,1,
16,3/5/24 17:31:01,3/5/24 17:35:31,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,,1,0,0,1,0,0,1,0,1,
17,3/5/24 17:34:15,3/5/24 17:39:13,anonymous,,,dopasowanie kandydatów do ofert pracy - liczenie scoringu na podstawie umiejętności i chęci rozwoju,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4,4,3,4,4,3,3,3,3,3,3,4,2,3,4,4,4,2,4,2,3,1,4,4,3,3,,3,2,2,4,2,3,2,2,3,
18,3/5/24 17:28:17,3/5/24 17:40:24,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,0,0,1,1,2,2,0,0,0,2,2,0,0,0,0,1,1,2,3,2,2,2,2,,0,0,0,0,0,0,0,0,0,
19,3/5/24 17:29:14,3/5/24 18:13:38,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,2,3,2,2,2,3,2,2,0,0,0,0,0,3,2,0,1,1,2,2,1,2,1,1,,0,0,0,0,0,0,0,0,0,
20,3/5/24 18:22:43,3/5/24 18:29:08,anonymous,,,"Jako że zajmuję się głównie SQL-em moim pomysłem jest zrobienie czegoś w stylu generatora kodu SQL-a przy wykorzystaniu rekurencyjnych CTE, dzięki czemu połączenia między tabelami w relacyjnej bazie danych mogą zostać wykorzystane do utworzenia czegoś na zasadzie bazy grafowej. Póki co jest to bardziej wizja niż jakiś poważny pomysł - zakładam, że może być bezużyteczny, biorąc pod uwagę, że to SQL.",Chcę uczestniczyć w projekcie data,1,3,1,1,1,1,1,4,3,3,1,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,
21,3/5/24 18:29:19,3/5/24 18:32:03,anonymous,,,,Chcę uczestniczyć w projekcie data,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,,2,2,0,2,0,2,0,2,1,
22,3/5/24 19:37:40,3/5/24 19:40:19,anonymous,,,,Chcę uczestniczyć w projekcie data,3,2,0,0,0,0,2,3,2,2,2,2,3,2,0,0,0,0,2,2,0,0,0,0,0,0,,0,0,0,2,0,0,0,2,0,
23,3/5/24 20:34:39,3/5/24 20:38:04,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1,2,1,2,1,1,2,3,2,2,1,2,2,2,1,1,1,1,2,3,2,2,3,2,2,3,,2,1,2,2,1,1,2,1,2,
24,3/5/24 21:36:40,3/5/24 21:38:50,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,2,2,2,2,1,4,2,2,2,2,4,2,2,2,2,2,3,3,1,1,4,2,3,3,,2,2,2,2,2,2,2,2,2,
25,3/5/24 21:46:44,3/5/24 21:50:02,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,3,3,2,3,3,3,3,2,2,2,3,2,2,3,2,2,3,1,2,2,1,1,1,1,,2,3,2,2,1,2,2,3,1,
26,3/5/24 22:03:45,3/5/24 22:09:02,anonymous,,,"Mam dużo pomysłów pod kątem biznesowym, ale wymagają konfrontacji z technicznymi ludźmi","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1,2,1,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,3,1,1,1,3,2,2,2,"Umiem pisać strategie. biznesowe, szybko wykrywam potencjalne szanse/zagrożenia, umiem współpracować i łatwo nawiązuję kontakty",2,2,2,2,3,1,1,2,1,Sam pisałem te branże
27,3/6/24 0:08:44,3/6/24 0:28:04,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,2,1,1,1,3,2,2,2,2,2,2,0,0,0,0,1,1,1,1,3,3,1,1,,2,2,2,3,3,1,2,2,1,
28,3/6/24 1:42:48,3/6/24 1:50:18,anonymous,,,,Chcę uczestniczyć w projekcie data,2,3,3,3,2,3,3,3,2,3,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,"Programowanie C++, tworzenie gier / scen w silniku Unreal Engine 5",2,1,1,2,1,1,1,2,1,
29,3/6/24 9:23:18,3/6/24 9:31:23,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,2,2,2,2,2,1,3,2,2,2,2,3,2,0,2,2,2,2,2,1,3,3,2,3,2,,3,2,2,2,2,2,2,2,2,
30,3/6/24 9:54:43,3/6/24 9:59:40,anonymous,,,,Chcę uczestniczyć w projekcie data,4,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,3,1,3,Wizualizacja danych w R w tym shiny,3,1,0,2,1,2,1,1,1,Dane przestrzenne
31,3/6/24 10:27:54,3/6/24 10:45:59,anonymous,,,,Chcę uczestniczyć w projekcie data,1,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,0,2,3,1,2,2,2,2,2,2,,0,0,0,2,0,0,0,0,0,
32,3/6/24 11:34:56,3/6/24 11:37:24,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,1,1,2,2,2,4,,2,2,2,2,1,4,1,2,4,
33,3/6/24 12:04:57,3/6/24 12:07:39,anonymous,,,,Chcę uczestniczyć w projekcie data,2,3,2,2,2,2,1,3,2,2,2,2,4,2,2,2,2,2,2,1,1,1,2,2,2,1,,2,2,2,1,2,1,2,2,1,
34,3/6/24 12:07:02,3/6/24 12:12:43,anonymous,,,"Może nie konkretny projekt, ale w przypadku jakiegoś fajnego modelu chciałbym stworzyć środowisko Docker - owe bądź chmurowe. Spróbować wyjść poza zakres tylko programowanie, ale także jak nasz kod wprowadzić w życie z naszymi środkami.",Chcę uczestniczyć w projekcie data,1,3,3,3,3,3,1,3,3,3,2,2,2,1,3,2,2,2,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
35,3/6/24 15:38:50,3/6/24 15:42:54,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1,2,0,0,0,0,0,3,2,3,1,1,4,1,2,2,1,1,4,1,1,1,3,1,1,2,,1,1,1,3,1,1,1,1,1,"branża energetyczna, produkcja"
36,3/6/24 17:18:44,3/6/24 17:21:57,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0,2,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,3,3,3,3,3,3,3,3,,2,2,2,2,2,3,2,2,3,
37,3/6/24 18:06:40,3/6/24 18:13:43,anonymous,,,,Chcę uczestniczyć w projekcie data,1,2,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,1,1,0,1,2,2,2,1,,2,2,1,1,1,1,2,2,1,
38,3/6/24 18:04:56,3/6/24 18:19:59,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4,2,2,4,3,3,2,3,2,2,2,2,1,1,0,0,2,2,3,2,2,2,2,2,2,1,"CI/CD, gitlab, dobre praktyki programistyczne: clean code, TDD, BDD, Agile - tak w stopniu 3",2,2,0,1,0,2,0,2,1,
39,3/6/24 19:15:27,3/6/24 19:15:56,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3/6/24 19:48:41,3/6/24 19:48:50,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3/6/24 20:01:41,3/6/24 20:06:34,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,2,2,2,2,2,3,2,1,3,0,3,1,0,0,0,0,2,3,1,1,2,2,2,1,,0,2,0,1,2,0,2,2,1,
42,3/7/24 7:25:17,3/7/24 7:35:02,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3,3,1,2,2,1,1,3,2,2,2,2,3,2,0,2,2,0,2,2,1,1,2,1,1,1,,2,1,1,2,2,1,2,1,1,
43,3/7/24 16:25:15,3/7/24 16:39:06,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,2,0,2,0,0,2,3,2,2,0,0,3,2,3,2,2,2,1,2,1,1,2,2,1,2,,0,0,0,0,0,0,0,0,0,
44,3/7/24 16:59:44,3/7/24 17:04:41,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,0,0,1,2,3,2,2,1,2,2,2,1,1,1,1,3,4,2,3,3,3,3,2,,2,2,3,3,2,2,1,2,2,
45,3/7/24 23:20:19,3/7/24 23:25:46,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,2,2,2,1,
46,3/7/24 23:55:51,3/8/24 0:00:06,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,2,0,0,1,2,2,2,2,2,3,1,0,0,0,0,1,1,0,1,1,1,1,1,,2,2,2,2,2,1,1,1,1,
47,3/8/24 8:26:00,3/8/24 8:39:45,anonymous,,,"Jest wiele platform agregujących ogłoszenia z portali online, pozwalają one na filtrowanie np. ofert prywatnych, tych wystawionych przez biura pośrednictwa czy nawet komornika lub syndyka. Wszystkie tego typu platformy zapewniają bogate opcje filtrowania ale żadna z nich nie „śledzi” obecnie panujących trendów. 
Proponuję stworzenie oprogramowania zbierającego oferty z rynku ale poza zwykłym filtrowaniem (wielkość, ilość pokoi, cena za m2, itd.) skupiająca się na wyszukiwaniu okazji w danych lokalizacjach. 
Docelowym odbiorcą mogłyby być osoby fizyczne chcące kupić nieruchomość do remontu poniżej ceny rynkowej. 
Celem projektowym byłoby stworzenie oprogramowania, które w pierwszej kolejności musiałoby stworzyć bazę uszeregowanych ofert nieruchomości po czym w ramach ściśle określonych parametrów wyłonić rokujące na okazje inwestycyjne. 

To na ten moment bardzo luźny pomysł i musiałbym go jeszcze przemyśleć/przedyskutować :) ","Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0,2,0,2,0,0,2,2,1,2,2,2,1,1,0,0,0,0,2,0,2,1,2,2,2,0,,0,0,0,0,0,0,3,2,0,
48,3/8/24 13:43:55,3/8/24 13:46:14,anonymous,,,,Chcę uczestniczyć w projekcie data,3,3,2,2,0,0,1,3,2,2,2,2,3,2,0,0,0,0,2,1,1,1,2,1,2,1,,2,2,1,2,2,1,2,2,1,
49,3/9/24 8:14:37,3/9/24 8:20:24,anonymous,,,,Chcę uczestniczyć w projekcie data,1,2,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,,2,2,2,2,2,2,2,2,2,
50,3/9/24 14:20:17,3/9/24 14:23:58,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,0,0,0,2,2,3,3,2,1,1,3,2,0,0,0,0,3,1,1,2,2,1,1,1,,1,3,1,1,2,2,2,1,2,
51,3/9/24 19:57:00,3/9/24 20:00:27,anonymous,,,,Chcę uczestniczyć w projekcie data,1,4,3,4,4,4,3,3,3,2,2,3,1,1,2,2,3,3,3,2,2,2,2,2,2,1,,1,4,0,1,1,1,0,1,0,
52,3/9/24 20:49:04,3/9/24 20:54:44,anonymous,,,,Chcę uczestniczyć w projekcie data,3,2,0,0,0,0,0,3,2,2,2,2,2,2,0,0,0,0,2,1,1,1,2,1,1,1,,0,0,0,0,0,0,0,0,0,
53,3/10/24 16:31:07,3/10/24 16:35:29,anonymous,,,,Chcę uczestniczyć w projekcie data,2,2,0,2,1,0,2,3,2,2,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,DataViz,3,2,2,2,2,2,2,1,2,Finance
54,3/11/24 19:38:54,3/11/24 19:42:08,anonymous,,,,Chcę uczestniczyć w projekcie data,3,2,0,0,0,0,0,3,0,2,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,1,2,2,1,1,1,1,
55,3/13/24 9:28:54,3/13/24 9:35:55,anonymous,,,"Analizy, modele ML w sporcie, a w szczególności piłka nożna. Popularny temat ostatnio w akademiach piłkarskich wielkich klubów - wykorzystywanie Big Daty do weryfikowania wstępnych umiejętności przyszłych młodych zawodników z całego świata. Nic nie weryfikowałem z dostępnością danych, luźny temat. ",Chcę uczestniczyć w projekcie data,1,3,1,2,2,1,2,3,2,3,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,1,,2,2,1,1,2,1,2,2,1,
56,3/15/24 7:11:47,3/15/24 7:12:01,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3/15/24 10:36:44,3/15/24 10:40:03,anonymous,,,Mnóstwo computer vision,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,defense
58,3/15/24 20:41:43,3/15/24 20:53:12,anonymous,,,"Pseudo klon portalu Bumbeo. Baza danych zawierające informacje na temat średnich zarobków w różnych krajach, kosztów życia i innych danych. Z tą różnicą, że dane nie pochodziłyby od użytkowników, tylko z gotowych źródeł danych (urzędowe bazy statystyczne itp.). Nie musi być taka sama tematyka jak na numbeo, ale wykonując taki projekt można by trochę się podszkolić bazodanowo/scrappowo, a przy tym może stworzyć coś ciekawego dla innych.",Chcę uczestniczyć w projekcie data,1,2,2,2,2,2,1,2,2,2,2,2,3,1,0,2,2,2,1,1,1,1,1,1,1,1,"Rozbijanie złożonych tematów na mniejsze obszary i definiowanie rzeczy do zrobienia, kategoryzowanie oraz wizualizacje w ramach map myśli. // Wykorzystywanie języków obcych w praktyce (np. wsparcie przy komunikacji podczas nawiązywanie, któreś z wyżej wymienionych relacji).",2,2,2,2,1,1,1,2,1,SSC i BPO / Automotive
59,3/18/24 19:40:09,3/18/24 19:48:37,anonymous,,,Biblioteka do analizy grafów oparta na zapytaniach sql,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,4,4,4,3,4,0,4,4,0,3,0,1,1,3,4,4,3,3,1,2,1,3,3,1,1,,4,3,0,1,1,1,1,3,1,"Insurance, Debt Collection, OperationsTech, Intelligence"
60,3/25/24 15:50:03,3/25/24 15:50:19,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3/25/24 18:28:32,3/25/24 18:31:47,anonymous,,,,Chcę uczestniczyć w projekcie data,1,2,0,2,0,0,0,4,0,0,0,0,3,2,2,2,2,0,1,1,0,0,2,2,1,1,,0,0,0,0,0,0,0,0,0,produkcja FMCG
62,3/26/24 9:52:57,3/26/24 9:57:41,anonymous,,,Swarm wirtualnych asystentów do pisania kodu w oparciu i wymagania biznesowe i human in the loop,"Chcę organizować ""życie"" Community",,,,,,,,,,,,,,,,,,,2,1,1,1,2,1,2,1,"AWS, OpenAI, LLMs, RAGs, Python, Go, Infrastructure as a Code, DevOps, MLOps",3,3,1,2,1,1,0,3,1,
63,4/3/24 15:24:10,4/3/24 15:33:56,anonymous,,,Mam pomysł lecz dość ogólny. Pomysł polegana wsparciu procesu researchu.,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,,3,2,2,3,2,3,2,2,2,
64,4/3/24 19:14:10,4/3/24 19:18:22,anonymous,,,,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1,3,2,3,2,2,1,3,2,3,2,3,4,1,1,1,1,1,1,2,2,1,2,2,2,2,,2,2,1,1,2,2,1,2,0,
65,4/8/24 10:31:25,4/8/24 10:32:10,anonymous,,,,"Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4/8/24 21:45:20,4/8/24 21:46:43,anonymous,,,"Cześć, bardzo chciałabym mieć taki pomysł, jednak jestem dopiero początkująca. Myśle, że z samej obserwacji też się dużo nauczę.","Póki co chcę czerpać, obserwować, ""konsumować content""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4/14/24 18:29:20,4/14/24 18:33:23,anonymous,,,,Chcę uczestniczyć w projekcie data,4,4,1,2,2,1,1,4,3,1,1,1,3,1,3,4,3,2,1,1,1,1,1,1,1,1,,3,1,1,1,2,1,1,1,1,
